,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
346,Cologne,DE004C1,DEA2,DE,2016,35.1
347,Constanta,RO501C1,RO22,RO,2016,40.1
348,Copenhagen,DK001C1,DK01,DK,2016,33.1
349,Cork,IE002C1,IE05,IE,2016,36.0
350,Dublin,IE001C1,IE06,IE,2016,36.0
351,Dusseldorf,DE011C1,DEA1,DE,2016,35.3
352,Edinburgh,UK007C1,UKM7,UK,2016,36.0
353,Eindhoven,NL005C1,NL41,NL,2016,30.5
354,Frankfurt,DE005C1,DE71,DE,2016,35.1
355,Gdansk,PL006C1,PL63,PL,2016,41.1
356,Geneva,CH002C1,CH01,CH,2016,35.4
357,Gent,BE003C1,BE23,BE,2016,37.5
358,Glasgow,UK004C1,UKM3,UK,2016,36.2
359,Gothenburg,SE002C1,SE23,SE,2016,36.6
360,Hamburg,DE002C1,DE60,DE,2016,36.2
361,Iasi,RO502C1,RO21,RO,2016,40.0
362,Istanbul,TR012C1,TR10,TR,2016,48.0
363,Izmir,TR013C1,TR31,TR,2016,45.3
364,Kaunas,LT002C1,LT02,LT,2016,38.4
365,Krakow (Cracow),PL003C1,PL2,PL,2016,40.3
366,Leeds,UK003C1,UKE4,UK,2016,36.2
367,Limassol,CY501C1,CY00,CY,2016,39.2
368,Lisbon,PT001C1,PT17,PT,2016,39.8
369,Ljubljana,SI001C1,SI04,SI,2016,39.1
370,London,UK001K2,UKI,UK,2016,38.1
371,Luxembourg,LU001C1,LU00,LU,2016,37.5
372,Lyon,FR003C2,FRK2,FR,2016,37.5
373,Madrid,ES001C1,ES30,ES,2016,38.3
374,Manchester,UK008C1,UKD3,UK,2016,36.4
375,Milan,IT002C1,ITC4,IT,2016,37.5
376,Munich,DE003L1,DE21,DE,2016,36.1
377,Nicosia,CY001C1,CY0,CY,2016,39.2
378,Oslo,NO001C1,NO01,NO,2016,34.6
379,Paris,FR001C1,FR10,FR,2016,38.1
380,Porto,PT002C1,PT11,PT,2016,39.6
381,Poznan,PL005C1,PL41,PL,2016,41.5
382,Prague,CZ001C1,CZ01,CZ,2016,40.2
