,City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8
183,Cluj-Napoca,RO002C1,RO11,RO,2014,27.2,58.6,14.2
184,Cologne,DE004C1,DEA2,DE,2014,17.7,53.9,28.3
185,Constanta,RO501C1,RO22,RO,2014,32.8,55.2,12.0
186,Copenhagen,DK001C1,DK01,DK,2014,16.8,35.6,47.5
187,Cork,IE002C1,IE05,IE,2014,20.8,40.3,38.9
188,Dublin,IE001C1,IE06,IE,2014,17.8,34.3,47.9
189,Dusseldorf,DE011C1,DEA1,DE,2014,19.1,57.1,23.8
190,Edinburgh,UK007C1,UKM7,UK,2014,16.8,32.6,50.6
191,Eindhoven,NL005C1,NL41,NL,2014,25.9,40.9,33.2
192,Frankfurt,DE005C1,DE71,DE,2014,15.2,52.8,32.0
193,Gdansk,PL006C1,PL63,PL,2014,11.2,62.3,26.5
194,Geneva,CH002C1,CH01,CH,2014,16.1,45.1,38.7
195,Gent,BE003C1,BE23,BE,2014,25.8,37.5,36.7
196,Glasgow,UK004C1,UKM3,UK,2014,19.1,34.4,46.5
197,Gothenburg,SE002C1,SE23,SE,2014,16.8,44.4,38.8
198,Hamburg,DE002C1,DE60,DE,2014,16.0,50.4,33.6
199,Iasi,RO502C1,RO21,RO,2014,32.7,55.3,12.0
200,Istanbul,TR012C1,TR10,TR,2014,62.2,18.8,18.9
201,Izmir,TR013C1,TR31,TR,2014,61.0,19.9,19.1
202,Kaunas,LT002C1,LT02,LT,2014,7.6,59.8,32.6
203,Krakow (Cracow),PL003C1,PL2,PL,2014,6.8,67.3,25.9
204,Leeds,UK003C1,UKE4,UK,2014,24.9,40.9,34.2
205,Limassol,CY501C1,CY00,CY,2014,22.4,37.3,40.3
206,Lisbon,PT001C1,PT17,PT,2014,43.3,25.7,31.0
207,Ljubljana,SI001C1,SI04,SI,2014,11.9,55.1,33.1
208,London,UK001K2,UKI,UK,2014,16.3,30.0,53.7
209,Luxembourg,LU001C1,LU00,LU,2014,18.0,36.0,45.9
210,Lyon,FR003C2,FRK2,FR,2014,19.8,43.1,37.1
211,Madrid,ES001C1,ES30,ES,2014,27.9,24.9,47.2
212,Manchester,UK008C1,UKD3,UK,2014,22.2,40.1,37.7
213,Milan,IT002C1,ITC4,IT,2014,37.9,44.2,17.9
214,Munich,DE003L1,DE21,DE,2014,9.6,53.2,37.1
215,Nicosia,CY001C1,CY0,CY,2014,22.4,37.3,40.3
216,Oslo,NO001C1,NO01,NO,2014,14.7,31.8,53.4
217,Paris,FR001C1,FR10,FR,2014,21.9,34.2,43.9
218,Porto,PT002C1,PT11,PT,2014,62.8,19.0,18.2
219,Poznan,PL005C1,PL41,PL,2014,8.8,66.7,24.6
220,Prague,CZ001C1,CZ01,CZ,2014,2.7,57.0,40.3
221,Reykjavik,IS001C1,IS00,IS,2014,26.4,36.3,37.3
222,Riga,LV001C1,LV00,LV,2014,10.5,59.3,30.2
223,Rome,IT001C1,ITI4,IT,2014,29.9,46.8,23.3
224,Rotterdam,NL003C1,NL33,NL,2014,25.0,40.8,34.2
225,The Hague (Den Haag),NL001C1,NL33,NL,2014,25.0,40.8,34.2
226,Seville (Sevilla),ES004C1,ES61,ES,2014,52.4,20.0,27.6
227,Sofia,BG001C1,BG41,BG,2014,9.3,53.2,37.5
228,Stockholm,SE001C1,SE11,SE,2014,14.2,38.2,47.6
229,Stuttgart,DE007C1,DE11,DE,2014,14.0,55.2,30.8
230,Tallinn,EE001C1,EE00,EE,2014,11.8,50.6,37.6
231,Thessaloniki,EL002C1,EL52,EL,2014,33.7,39.1,27.3
232,Timisoara,RO003C1,RO42,RO,2014,24.1,62.4,13.5
233,Trieste,IT015C1,ITH4,IT,2014,35.4,47.4,17.2
234,Trondheim,NO003C1,NO06,NO,2014,15.3,43.9,40.7
235,Turin,IT004C1,ITC1,IT,2014,39.4,44.4,16.2
236,Varna,BG003C1,BG33,BG,2014,24.4,48.5,27.0
237,Vienna,AT001C1,AT13,AT,2014,17.2,43.7,39.1
238,Vilnius,LT001C1,LT01,LT,2014,4.4,48.3,47.3
239,Warsaw,PL001C1,PL91,PL,2014,3.9,44.4,51.7
240,Wroclaw,PL004C1,PL51,PL,2014,8.1,64.7,27.2
241,Zagreb,HR001C1,HR04,HR,2014,19.6,59.5,20.8
242,Zurich,CH001C1,CH04,CH,2014,11.3,42.9,45.8
243,Amsterdam,NL002C1,NL32,NL,2015,20.2,38.2,41.6
244,Ankara,TR001C1,TR51,TR,2015,49.9,22.7,27.4
245,Antwerp,BE002C1,BE2,BE,2015,22.9,39.9,37.2
246,Athens,EL001C1,EL30,EL,2015,18.0,44.9,37.0
247,Barcelona,ES002C1,ES51,ES,2015,41.2,21.2,37.5
248,Valencia,ES003C1,ES51,ES,2015,41.2,21.2,37.5
