City, City_Code, NUTS 2, Country,Year,E_Life_expextancy_at_birth,E_Med_Doctors_per_100000,Gender_Employment_Gap
Glasgow,UK004C1,UKM3,UK,2017,79.5,NaN,7.4
Glasgow,UK004C1,UKM3,UK,2018,79.2,NaN,7.7
Glasgow,UK004C1,UKM3,UK,2019,NaN,NaN,7
Gothenburg,SE002C1,SE23,SE,2012,81.9,401.94,6.5
Gothenburg,SE002C1,SE23,SE,2013,82.1,404.54,5
Gothenburg,SE002C1,SE23,SE,2014,82.4,409.84,3.8
Gothenburg,SE002C1,SE23,SE,2015,82.4,421.43,3.7
Gothenburg,SE002C1,SE23,SE,2016,82.5,430.12,3.3
Gothenburg,SE002C1,SE23,SE,2017,82.5,431.79,4.6
Gothenburg,SE002C1,SE23,SE,2018,82.6,NaN,4.4
Gothenburg,SE002C1,SE23,SE,2019,NaN,NaN,5.9
Hamburg,DE002C1,DE60,DE,2012,80.7,588.1,8.4
Hamburg,DE002C1,DE60,DE,2013,80.7,597.54,7.1
Hamburg,DE002C1,DE60,DE,2014,81.2,604.25,8.4
Hamburg,DE002C1,DE60,DE,2015,80.9,611.85,6.9
Hamburg,DE002C1,DE60,DE,2016,81.2,614.42,7.1
Hamburg,DE002C1,DE60,DE,2017,81.1,622.08,8
Hamburg,DE002C1,DE60,DE,2018,81.1,629.07,7.3
Hamburg,DE002C1,DE60,DE,2019,NaN,NaN,6.2
Iasi,RO502C1,RO21,RO,2012,73.8,204.59,9.8
Iasi,RO502C1,RO21,RO,2013,74.6,209.24,10.1
Iasi,RO502C1,RO21,RO,2014,74.3,212.35,9.7
Iasi,RO502C1,RO21,RO,2015,74.3,209.64,13
Iasi,RO502C1,RO21,RO,2016,74.6,221.42,13.9
Iasi,RO502C1,RO21,RO,2017,74.4,234.52,14
Iasi,RO502C1,RO21,RO,2018,74.1,244.03,15.1
Iasi,RO502C1,RO21,RO,2019,NaN,NaN,16.2
Istanbul,TR012C1,TR10,TR,2012,78.3,193.51,47.2
Istanbul,TR012C1,TR10,TR,2013,78.8,186.28,45.9
Istanbul,TR012C1,TR10,TR,2014,78.5,190.05,44.7
Istanbul,TR012C1,TR10,TR,2015,78.5,198.36,44
Istanbul,TR012C1,TR10,TR,2016,78.5,216.45,42.6
Istanbul,TR012C1,TR10,TR,2017,78.9,205.78,41.6
Istanbul,TR012C1,TR10,TR,2018,79.4,219.64,40.5
Istanbul,TR012C1,TR10,TR,2019,NaN,NaN,40.6
Izmir,TR013C1,TR31,TR,2012,77.8,227.53,42.1
Izmir,TR013C1,TR31,TR,2013,79,241.59,39.4
Izmir,TR013C1,TR31,TR,2014,78.7,241.49,40.2
Izmir,TR013C1,TR31,TR,2015,78.7,241.41,39.2
Izmir,TR013C1,TR31,TR,2016,78.5,233.87,38.8
Izmir,TR013C1,TR31,TR,2017,78.8,256.37,38.7
Izmir,TR013C1,TR31,TR,2018,79.2,256.9,38.1
Izmir,TR013C1,TR31,TR,2019,NaN,NaN,36
Kaunas,LT002C1,LT02,LT,2012,74.2,551.78,1.2
Kaunas,LT002C1,LT02,LT,2013,74.3,552.59,3.8
Kaunas,LT002C1,LT02,LT,2014,74.8,561.72,3.4
Kaunas,LT002C1,LT02,LT,2015,75,559.74,2.9
Kaunas,LT002C1,LT02,LT,2016,75.3,575.58,1.8
Kaunas,LT002C1,LT02,LT,2017,76.3,586.39,2
Kaunas,LT002C1,LT02,LT,2018,76.3,594.09,3
Kaunas,LT002C1,LT02,LT,2019,NaN,NaN,1.7
Krakow (Cracow),PL003C1,PL2,PL,2012,78.1,233.4,14
Krakow (Cracow),PL003C1,PL2,PL,2013,78.5,234.36,15.1
Krakow (Cracow),PL003C1,PL2,PL,2014,79.1,228.77,13.5
Krakow (Cracow),PL003C1,PL2,PL,2015,78.8,230.46,13.9
Krakow (Cracow),PL003C1,PL2,PL,2016,79.3,243.99,15
Krakow (Cracow),PL003C1,PL2,PL,2017,79.1,245.59,13.2
Krakow (Cracow),PL003C1,PL2,PL,2018,79.1,NaN,14.2
Krakow (Cracow),PL003C1,PL2,PL,2019,NaN,NaN,16.4
Leeds,UK003C1,UKE42,UK,2012,80.2,NaN,11.6
Leeds,UK003C1,UKE42,UK,2013,80.1,NaN,10.3
Leeds,UK003C1,UKE42,UK,2014,80.4,NaN,13.1
Leeds,UK003C1,UKE42,UK,2015,80,NaN,10.5
Leeds,UK003C1,UKE42,UK,2016,80.3,NaN,10.4
Leeds,UK003C1,UKE42,UK,2017,80.4,NaN,11.5
Leeds,UK003C1,UKE42,UK,2018,80.1,NaN,11.5
Leeds,UK003C1,UKE42,UK,2019,NaN,NaN,12.5
Limassol,CY501C1,CY00,CY,2012,81.1,301.64,11.3
Limassol,CY501C1,CY00,CY,2013,82.5,319.51,10.4
Limassol,CY501C1,CY00,CY,2014,82.3,337.83,7.7
Limassol,CY501C1,CY00,CY,2015,81.8,359.34,8.3
Limassol,CY501C1,CY00,CY,2016,82.7,376.84,9.7
Limassol,CY501C1,CY00,CY,2017,82.2,386.84,9.5
Limassol,CY501C1,CY00,CY,2018,82.9,407.32,10.4
Limassol,CY501C1,CY00,CY,2019,NaN,NaN,11.6
Lisbon,PT001C1,PT17,PT,2012,81,560.49,1.4
Lisbon,PT001C1,PT17,PT,2013,81.3,573.2,3
Lisbon,PT001C1,PT17,PT,2014,81.7,588.03,3.4
Lisbon,PT001C1,PT17,PT,2015,81.6,603.75,3.9
Lisbon,PT001C1,PT17,PT,2016,81.7,619.06,2
Lisbon,PT001C1,PT17,PT,2017,82,631.44,4.6
Lisbon,PT001C1,PT17,PT,2018,81.7,643.2,4.8
Lisbon,PT001C1,PT17,PT,2019,NaN,NaN,5.5
Ljubljana,SI001C1,SI04,SI,2012,80.3,297.56,6.4
Ljubljana,SI001C1,SI04,SI,2013,80.5,302.13,8.8
Ljubljana,SI001C1,SI04,SI,2014,81.2,NaN,9.2
Ljubljana,SI001C1,SI04,SI,2015,80.9,NaN,9.4
Ljubljana,SI001C1,SI04,SI,2016,81.2,NaN,8.1
Ljubljana,SI001C1,SI04,SI,2017,81.2,NaN,8.8
Ljubljana,SI001C1,SI04,SI,2018,81.5,NaN,6.3
Ljubljana,SI001C1,SI04,SI,2019,NaN,NaN,6.9
London,UK001K2,UKI,UK,2012,82,NaN,14.46
London,UK001K2,UKI,UK,2013,82.4,NaN,14.56
London,UK001K2,UKI,UK,2014,82.6,NaN,15.84
London,UK001K2,UKI,UK,2015,82.2,NaN,15.12
London,UK001K2,UKI,UK,2016,82.9,NaN,15.62
London,UK001K2,UKI,UK,2017,82.9,NaN,14.28
London,UK001K2,UKI,UK,2018,82.9,NaN,12.82
London,UK001K2,UKI,UK,2019,NaN,NaN,12.76
Luxembourg,LU001C1,LU00,LU,2012,81.5,280.63,14.4
Luxembourg,LU001C1,LU00,LU,2013,81.9,283.05,14.1
Luxembourg,LU001C1,LU00,LU,2014,82.3,288.14,12.9
Luxembourg,LU001C1,LU00,LU,2015,82.4,290.73,11.7
Luxembourg,LU001C1,LU00,LU,2016,82.7,288.45,11
Luxembourg,LU001C1,LU00,LU,2017,82.1,298.49,7.9
Luxembourg,LU001C1,LU00,LU,2018,82.3,NaN,8
Luxembourg,LU001C1,LU00,LU,2019,NaN,NaN,9.1
Lyon,FR003C2,FRK2,FR,2012,82.8,303.27,9.1
Lyon,FR003C2,FRK2,FR,2013,83.2,306.53,8.8
Lyon,FR003C2,FRK2,FR,2014,83.7,307.33,7.6
Lyon,FR003C2,FRK2,FR,2015,83.2,309.36,7.5
Lyon,FR003C2,FRK2,FR,2016,83.6,310.28,7.1
Lyon,FR003C2,FRK2,FR,2017,83.5,313,7.9
Lyon,FR003C2,FRK2,FR,2018,83.8,313.74,7.8
Lyon,FR003C2,FRK2,FR,2019,NaN,NaN,7.6
Madrid,ES001C1,ES30,ES,2012,84.2,459.5,7.1
Madrid,ES001C1,ES30,ES,2013,84.8,440.07,8.5
Madrid,ES001C1,ES30,ES,2014,84.9,458.52,9.6
Madrid,ES001C1,ES30,ES,2015,84.5,473.63,9.1
Madrid,ES001C1,ES30,ES,2016,85.2,463.22,9
Madrid,ES001C1,ES30,ES,2017,85.1,445.5,9
Madrid,ES001C1,ES30,ES,2018,85.5,456.52,9.7
Madrid,ES001C1,ES30,ES,2019,NaN,NaN,8.9
Manchester,UK008C1,UKD3,UK,2012,79.5,NaN,10
Manchester,UK008C1,UKD3,UK,2013,79.7,NaN,9.1
Manchester,UK008C1,UKD3,UK,2014,79.7,NaN,12
Manchester,UK008C1,UKD3,UK,2015,79.5,NaN,14
Manchester,UK008C1,UKD3,UK,2016,79.7,NaN,7.4
Manchester,UK008C1,UKD3,UK,2017,79.7,NaN,6.5
Manchester,UK008C1,UKD3,UK,2018,80,NaN,8.7
