,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
327,Athens,EL001C1,EL30,EL,2016,23.0
328,Barcelona,ES002C1,ES51,ES,2016,15.7
329,Valencia,ES003C1,ES51,ES,2016,15.7
330,Belfast,UK012C1,UKN0,UK,2016,5.7
331,Belgrade, -,RS11,RS,2016,15.7
332,Bergen,NO002C1,NO05,NO,2016,4.8
333,Berlin,DE001C1,DE30,DE,2016,7.8
334,Birmingham,UK002C1,UKG3,UK,2016,7.6
335,Bologna,IT009C1,ITH5,IT,2016,7.0
336,Brasov,RO504C1,RO12,RO,2016,5.2
337,Bratislava,SK001C1,SK01,SK,2016,5.1
338,Bristol,UK011C1,UKK1,UK,2016,3.7
339,Brno,CZ002C1,CZ06,CZ,2016,3.7
340,Brussels,BE001C1,BE1,BE,2016,16.8
341,Bucharest,RO001C1,RO32,RO,2016,4.7
342,Budapest,HU001C1,HU11,HU,2016,4.3
343,Bursa,TR005C1,TR41,TR,2016,9.0
344,Cambridge,UK017C1,UKH1,UK,2016,3.8
345,Cluj-Napoca,RO002C1,RO11,RO,2016,4.3
346,Cologne,DE004C1,DEA2,DE,2016,3.9
347,Constanta,RO501C1,RO22,RO,2016,7.7
348,Copenhagen,DK001C1,DK01,DK,2016,6.2
349,Cork,IE002C1,IE05,IE,2016,8.6
350,Dublin,IE001C1,IE06,IE,2016,8.2
351,Dusseldorf,DE011C1,DEA1,DE,2016,4.9
352,Edinburgh,UK007C1,UKM7,UK,2016,4.8
353,Eindhoven,NL005C1,NL41,NL,2016,5.3
354,Frankfurt,DE005C1,DE71,DE,2016,4.0
355,Gdansk,PL006C1,PL63,PL,2016,5.7
356,Geneva,CH002C1,CH01,CH,2016,7.6
357,Gent,BE003C1,BE23,BE,2016,4.2
358,Glasgow,UK004C1,UKM3,UK,2016,5.1
359,Gothenburg,SE002C1,SE23,SE,2016,6.5
360,Hamburg,DE002C1,DE60,DE,2016,4.1
361,Iasi,RO502C1,RO21,RO,2016,3.0
362,Istanbul,TR012C1,TR10,TR,2016,13.5
363,Izmir,TR013C1,TR31,TR,2016,13.9
364,Kaunas,LT002C1,LT02,LT,2016,8.9
365,Krakow (Cracow),PL003C1,PL2,PL,2016,5.3
366,Leeds,UK003C1,UKE4,UK,2016,5.8
367,Limassol,CY501C1,CY00,CY,2016,13.0
368,Lisbon,PT001C1,PT17,PT,2016,11.9
369,Ljubljana,SI001C1,SI04,SI,2016,7.1
370,London,UK001K2,UKI,UK,2016,5.6
371,Luxembourg,LU001C1,LU00,LU,2016,6.3
372,Lyon,FR003C2,FRK2,FR,2016,8.1
373,Madrid,ES001C1,ES30,ES,2016,15.7
374,Manchester,UK008C1,UKD3,UK,2016,6.1
375,Milan,IT002C1,ITC4,IT,2016,7.4
376,Munich,DE003L1,DE21,DE,2016,2.4
377,Nicosia,CY001C1,CY0,CY,2016,13.0
378,Oslo,NO001C1,NO01,NO,2016,4.6
