,City, City Code, NUTS 2, Country,Year,Unemployment_Rate
456,Vienna,AT001C1,AT13,AT,2017,11.0
457,Vilnius,LT001C1,LT01,LT,2017,53.0
458,Warsaw,PL001C1,PL91,PL,2017,61.0
459,Wroclaw,PL004C1,PL51,PL,2017,76.0
460,Zagreb,HR001C1,HR04,HR,2017,71.0
461,Zurich,CH001C1,CH04,CH,2017,15.0
462,Amsterdam,NL002C1,NL32,NL,2018,32.0
463,Ankara,TR001C1,TR51,TR,2018,72.0
464,Antwerp,BE002C1,BE2,BE,2018,47.0
465,Athens,EL001C1,EL30,EL,2018,48.0
466,Barcelona,ES002C1,ES51,ES,2018,44.0
467,Valencia,ES003C1,ES51,ES,2018,44.0
468,Belfast,UK012C1,UKN0,UK,2018,29.0
469,Bergen,NO002C1,NO05,NO,2018,23.0
470,Berlin,DE001C1,DE30,DE,2018,12.0
471,Birmingham,UK002C1,UKG3,UK,2018,20.0
472,Bologna,IT009C1,ITH5,IT,2018,71.0
473,Brasov,RO504C1,RO12,RO,2018,95.0
474,Bratislava,SK001C1,SK01,SK,2018,32.0
475,Bristol,UK011C1,UKK1,UK,2018,33.0
476,Brno,CZ002C1,CZ06,CZ,2018,61.0
477,Brussels,BE001C1,BE1,BE,2018,17.0
478,Bucharest,RO001C1,RO32,RO,2018,48.0
479,Budapest,HU001C1,HU11,HU,2018,29.0
480,Bursa,TR005C1,TR41,TR,2018,73.0
481,Cambridge,UK017C1,UKH1,UK,2018,30.0
482,Cluj-Napoca,RO002C1,RO11,RO,2018,96.0
483,Cologne,DE004C1,DEA2,DE,2018,30.0
484,Constanta,RO501C1,RO22,RO,2018,111.0
485,Copenhagen,DK001C1,DK01,DK,2018,14.0
486,Cork,IE002C1,IE05,IE,2018,33.0
487,Dublin,IE001C1,IE06,IE,2018,22.0
488,Dusseldorf,DE011C1,DEA1,DE,2018,22.0
489,Eindhoven,NL005C1,NL41,NL,2018,59.0
490,Frankfurt,DE005C1,DE71,DE,2018,35.0
491,Gdansk,PL006C1,PL63,PL,2018,64.0
492,Geneva,CH002C1,CH01,CH,2018,25.0
493,Gent,BE003C1,BE23,BE,2018,47.0
494,Gothenburg,SE002C1,SE23,SE,2018,32.0
495,Hamburg,DE002C1,DE60,DE,2018,16.0
496,Iasi,RO502C1,RO21,RO,2018,99.0
497,Istanbul,TR012C1,TR10,TR,2018,29.0
